2026-01-26 16:54:16,493 | INFO | tg-gui | Logged in
2026-01-26 16:56:19,636 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76279
2026-01-26 16:57:37,465 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76280
2026-01-26 17:38:30,053 | INFO | tg-gui | Logged in
2026-01-26 17:40:19,400 | INFO | tg-gui | No graph URL found for msg_id=76344
2026-01-26 17:40:19,539 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76344
2026-01-26 17:41:23,810 | INFO | tg-gui | No graph URL found for msg_id=76348
2026-01-26 17:41:23,970 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76348
2026-01-26 17:46:08,388 | INFO | tg-gui | No graph URL found for msg_id=76353
2026-01-26 17:46:08,512 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76353
2026-01-26 17:48:30,751 | INFO | tg-gui | No graph URL found for msg_id=76359
2026-01-26 17:48:30,921 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76359
2026-01-26 17:50:31,357 | INFO | tg-gui | No graph URL found for msg_id=76360
2026-01-26 17:50:31,494 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76360
2026-01-26 17:50:33,796 | INFO | tg-gui | No graph URL found for msg_id=76361
2026-01-26 17:50:34,008 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=76361
