2026-01-30 11:14:29,590 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:14:29,705 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87349
2026-01-30 11:14:29,705 | INFO | tg-gui | Binance burst: capturing screenshot key=binance:-1003307641780:87349:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwOSIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:1.099:0
2026-01-30 11:14:29,808 | INFO | tg-gui | Expected coin normalize: type=str value=PIPPINUSDT
2026-01-30 11:14:29,809 | INFO | tg-gui | Waiting for expected coin on page: PIPPINUSDT
2026-01-30 11:14:29,809 | WARNING | tg-gui | Expected coin not found, retry wait: PIPPINUSDT
2026-01-30 11:14:31,825 | WARNING | tg-gui | Expected coin not confirmed: PIPPINUSDT
2026-01-30 11:14:33,178 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:14:33,741 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:14:34,393 | INFO | tg-gui | Binance signal sent msg_id=2763 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760865_binance_PIPPINUSDT_87344_0_down_1_669_a1.png hash=37d0916ad7c70b387b6554aff807f619ad6a85c3489c89b444197a5a34d4c112
2026-01-30 11:14:34,393 | INFO | tg-gui | Stats event added: kind=normal exchange=binance coin=PIPPINUSDT abs=1.669 key=binance:-1003307641780:87344:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#PIPPINUSDT:-1.669:0
2026-01-30 11:14:34,394 | INFO | tg-gui | Signal accepted: coin=#PIPPINUSDT abs=1.669 key=binance:-1003307641780:87344:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#PIPPINUSDT:-1.669:0
2026-01-30 11:14:34,395 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=87344
2026-01-30 11:14:34,395 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87344
2026-01-30 11:14:38,224 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:14:38,440 | INFO | tg-gui | Expected coin normalize: type=str value=BROCCOLIF3BUSDT
2026-01-30 11:14:38,440 | INFO | tg-gui | Waiting for expected coin on page: BROCCOLIF3BUSDT
2026-01-30 11:14:38,441 | WARNING | tg-gui | Expected coin not found, retry wait: BROCCOLIF3BUSDT
2026-01-30 11:14:40,451 | WARNING | tg-gui | Expected coin not confirmed: BROCCOLIF3BUSDT
2026-01-30 11:14:40,485 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:14:40,602 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:14:41,214 | INFO | tg-gui | Binance signal sent msg_id=2764 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760873_binance_BROCCOLIF3BUSDT_87345_0_down_2_012_a1.png hash=579e580cc63283bec625f16165fa26abd16e50ed9da9fd8e1d925cfba982ca70
2026-01-30 11:14:41,214 | INFO | tg-gui | Stats event added: kind=normal exchange=binance coin=BROCCOLIF3BUSDT abs=2.012 key=binance:-1003307641780:87345:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNSIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#BROCCOLIF3BUSDT:-2.012:0
2026-01-30 11:14:41,215 | INFO | tg-gui | Signal accepted: coin=#BROCCOLIF3BUSDT abs=2.012 key=binance:-1003307641780:87345:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNSIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#BROCCOLIF3BUSDT:-2.012:0
2026-01-30 11:14:41,215 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=87345
2026-01-30 11:14:41,216 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87345
2026-01-30 11:14:44,358 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87350
2026-01-30 11:14:44,358 | INFO | tg-gui | Binance burst: capturing screenshot key=binance:-1003307641780:87350:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgxMCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:-1.145:0
2026-01-30 11:14:44,924 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:14:45,141 | INFO | tg-gui | Expected coin normalize: type=str value=EPTUSDT
2026-01-30 11:14:45,141 | INFO | tg-gui | Waiting for expected coin on page: EPTUSDT
2026-01-30 11:14:45,142 | WARNING | tg-gui | Expected coin not found, retry wait: EPTUSDT
2026-01-30 11:14:47,164 | WARNING | tg-gui | Expected coin not confirmed: EPTUSDT
2026-01-30 11:14:47,192 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:14:47,330 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:14:47,974 | INFO | tg-gui | Binance signal sent msg_id=2765 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760880_binance_EPTUSDT_87346_0_up_2_464_a1.png hash=2c16b8ec28c0ffad42ae6004ee0ed362f350b7f189fca1e3e6e83fcc461d3e29
2026-01-30 11:14:47,974 | INFO | tg-gui | Stats event added: kind=normal exchange=binance coin=EPTUSDT abs=2.464 key=binance:-1003307641780:87346:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNiIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:2.464:0
2026-01-30 11:14:47,975 | INFO | tg-gui | Signal accepted: coin=#EPTUSDT abs=2.464 key=binance:-1003307641780:87346:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwNiIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:2.464:0
2026-01-30 11:14:47,976 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=87346
2026-01-30 11:14:47,976 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87346
2026-01-30 11:14:48,791 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87351
2026-01-30 11:14:50,737 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87352
2026-01-30 11:14:50,738 | INFO | tg-gui | Binance burst: capturing screenshot key=binance:-1003307641780:87352:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgxMiIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:-1.039:0
2026-01-30 11:14:51,763 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87353
2026-01-30 11:14:51,764 | INFO | tg-gui | Signal skipped (below min_distance): coin=#BULLAUSDT abs=1.390
2026-01-30 11:14:51,765 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87353
2026-01-30 11:14:51,765 | INFO | tg-gui | Signal skipped (below min_distance): coin=#BULLAUSDT abs=1.390
2026-01-30 11:14:51,877 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:14:52,093 | INFO | tg-gui | Expected coin normalize: type=str value=EPTUSDT
2026-01-30 11:14:52,093 | INFO | tg-gui | Waiting for expected coin on page: EPTUSDT
2026-01-30 11:14:52,093 | WARNING | tg-gui | Expected coin not found, retry wait: EPTUSDT
2026-01-30 11:14:54,113 | WARNING | tg-gui | Expected coin not confirmed: EPTUSDT
2026-01-30 11:14:54,143 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:14:54,299 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:14:55,026 | INFO | tg-gui | Binance signal sent msg_id=2766 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760887_binance_EPTUSDT_87348_0_up_1_320_a1.png hash=32afbda41d16b78e23e34fb993cb9dde2dbd742e51dda3abe4a0fe3711bf04d4
2026-01-30 11:14:55,026 | INFO | tg-gui | Burst cooldown set: key=binance:EPTUSDT until=1769760896
2026-01-30 11:14:55,027 | INFO | tg-gui | Stats event added: kind=burst exchange=binance coin=EPTUSDT abs=1.320 key=binance:-1003307641780:87348:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwOCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:1.320:0
2026-01-30 11:14:55,027 | INFO | tg-gui | Signal accepted: coin=#EPTUSDT abs=1.320 key=binance:-1003307641780:87348:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwOCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:1.320:0
2026-01-30 11:14:55,027 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=87348
2026-01-30 11:14:55,028 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87348
2026-01-30 11:14:59,097 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:14:59,312 | INFO | tg-gui | Expected coin normalize: type=str value=EPTUSDT
2026-01-30 11:14:59,313 | INFO | tg-gui | Waiting for expected coin on page: EPTUSDT
2026-01-30 11:14:59,313 | WARNING | tg-gui | Expected coin not found, retry wait: EPTUSDT
2026-01-30 11:15:01,328 | WARNING | tg-gui | Expected coin not confirmed: EPTUSDT
2026-01-30 11:15:01,359 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:15:01,516 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:15:02,326 | INFO | tg-gui | Binance signal sent msg_id=2767 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760894_binance_EPTUSDT_87349_0_up_1_099_a1.png hash=bbee66b3430cd7cfb73127391fd158d15bb2c7a22d2ce40129d9de411364912a
2026-01-30 11:15:02,327 | INFO | tg-gui | Burst cooldown set: key=binance:EPTUSDT until=1769760903
2026-01-30 11:15:02,328 | INFO | tg-gui | Stats event added: kind=burst exchange=binance coin=EPTUSDT abs=1.099 key=binance:-1003307641780:87349:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwOSIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:1.099:0
2026-01-30 11:15:02,328 | INFO | tg-gui | Signal accepted: coin=#EPTUSDT abs=1.099 key=binance:-1003307641780:87349:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgwOSIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:1.099:0
2026-01-30 11:15:02,328 | INFO | tg-gui | Signal sent chat_id=-1003307641780 msg_id=87349
2026-01-30 11:15:02,328 | INFO | tg-gui | Parsed signals: total=1 from msg_id=87349
2026-01-30 11:15:06,085 | INFO | tg-gui | Screenshot delay applied: exchange=binance delay=0.2s
2026-01-30 11:15:06,288 | INFO | tg-gui | Expected coin normalize: type=str value=EPTUSDT
2026-01-30 11:15:06,288 | INFO | tg-gui | Waiting for expected coin on page: EPTUSDT
2026-01-30 11:15:06,288 | WARNING | tg-gui | Expected coin not found, retry wait: EPTUSDT
2026-01-30 11:15:08,293 | WARNING | tg-gui | Expected coin not confirmed: EPTUSDT
2026-01-30 11:15:08,322 | INFO | tg-gui | Binance ready check OK: selector=canvas
2026-01-30 11:15:08,464 | INFO | tg-gui | Screenshot context: exchange=binance user_data_dir=C:\Users\Кирилл\Новая папка\скрипт тг\pwdata\binance
2026-01-30 11:15:09,303 | INFO | tg-gui | Binance signal sent msg_id=2768 path=C:\Users\Кирилл\Новая папка\скрипт тг\screenshots\graph_1769760901_binance_EPTUSDT_87350_0_down_1_145_a1.png hash=160c4a6b47311f01d151e56a54c980c83930644b223868daa35a50a83d85df50
2026-01-30 11:15:09,303 | INFO | tg-gui | Burst cooldown set: key=binance:EPTUSDT until=1769760910
2026-01-30 11:15:09,304 | INFO | tg-gui | Stats event added: kind=burst exchange=binance coin=EPTUSDT abs=1.145 key=binance:-1003307641780:87350:eyJleGNoYW5nZSI6ImJpbmFuY2UiLCJpZCI6IjEwNzgxMCIsIm1hcmtldCI6ImZ1dHVyZXMifQ:#EPTUSDT:-1.145:0
